순위,채널명,카테고리,구독자수,조회수,비디오수
419,그것이 알고싶다,TV/방송,1610000,665080000,974
418,it's Live,TV/방송,1610000,555350000,808
417,NU'EST,음악/댄스/가수,1610000,282870000,687
416,먹어볼래TryToEat,음식/요리/레시피,1610000,343570000,319
421,파뿌리,음식/요리/레시피,1600000,1940630000,1771
423,브라보키즈,키즈/어린이,1590000,1676670000,2834
422,GENIE MUSIC,음악/댄스/가수,1590000,602640000,5187
433,자취요리신 simple cooking,미분류,1580000,340370000,875
426,성시경 SUNG SI KYUNG,음악/댄스/가수,1580000,652960000,464
425,김소형채널H,미분류,1580000,374360000,1087
432,PREMIUM DANCE STUDIO,미분류,1580000,565930000,2387
424,브레드이발소,키즈/어린이,1580000,844160000,1315
428,우왁굳의 게임방송,게임,1580000,1771840000,7932
427,겜브링 GGAM BRING,게임,1580000,1926930000,2813
431,힙으뜸,스포츠/운동,1570000,542390000,511
430,TJ KARAOKE TJ 노래방 공식 유튜브채널,음악/댄스/가수,1570000,2273720000,63617
429,동네놈들,TV/방송,1570000,466520000,532
436,리틀엔젤 인기동요 어린이노래 - Little Angel,키즈/어린이,1560000,819950000,430
435,뜨뜨뜨뜨,게임,1560000,879520000,1834
434,헬로카봇 - hello carbot official,키즈/어린이,1560000,1536850000,1639
438,FIFTY FIFTY Official,미분류,1550000,464320000,105
437,Car play toy,키즈/어린이,1550000,816260000,1397
444,키글TV - 키즈 앱・장난감,키즈/어린이,1540000,824930000,2146
443,히밥heebab,음식/요리/레시피,1540000,608490000,776
442,임영웅,BJ/인물/연예인,1540000,2178110000,677
441,Lemoring,음악/댄스/가수,1540000,1132390000,567
440,사물궁이 잡학지식,교육/강의,1540000,299580000,418
439,JAYKEEOUT,BJ/인물/연예인,1540000,248040000,260
446,혜리,BJ/인물/연예인,1530000,102040000,103
445,ONEUS,음악/댄스/가수,1530000,425230000,791
